ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
210.11963667005017,0.29833108701134514,14.521671784891899,0.19158594164117074,1.3240221932197385,0.3088055289073239,-13.333815430379644,0.6639544271700609,-14.6083568783668,0.3806569480501114,19.019932,20.084745,17.849861,2.2348843
210.00638783980236,0.4312039743259948,14.365059801382229,0.34699580499058785,-0.20864853826223612,0.5400903829919039,0.03505923399215752,0.7761830599835267,-1.725115139105757,0.6456428322143795,19.390156,19.764738,18.806458,0.95828056
210.13158546663027,0.10828110266405472,14.680157989923957,0.08197461393780055,3.4374461352618755,0.12457758450929687,12.978209268625585,0.23019388287733297,-19.429058687183144,0.16336767984925585,17.021343,18.264544,15.883056,2.3814878
210.11562440651034,0.5242641446906281,14.679219836282304,0.3965447606749101,1.5694487179513072,0.6125668658453672,-4.273590337953034,1.1150604461642488,-29.577580419002405,0.7703586526483674,19.738974,20.45356,18.46529,1.9882698
209.9357270672084,0.5647979276120135,14.619339772845688,0.46430284057274235,0.167441606734984,0.6528003562222406,-0.5230306045281428,1.1311876106916205,-1.44486423058622,0.8713342426840259,19.915745,19.785404,19.230711,0.5546932
209.93259593739774,0.9469315434152383,14.546817522049317,0.8282342206378971,-1.329329476355304,1.0828973457874222,0.8410194859298743,2.1683299066647694,-11.63893040446689,1.8927427175886373,19.904654,20.236277,18.515734,1.7205429
210.0554975844045,0.148603618641533,14.438258307294396,0.12167048644618794,0.530149391721855,0.18064080953733486,-20.57743936064484,0.30813202412100954,-36.81242597431536,0.25020034752195147,18.011961,18.534534,17.355286,1.1792488
210.0484870789114,0.07878394881640907,14.70485775485971,0.059162727517668476,0.14730977525306607,0.08988174955856787,-1.6017054345668864,0.17790616519078092,-2.4117299458014454,0.12061657710355365,16.890587,17.226189,16.364573,0.86161613
210.1874464679174,0.3782697155110448,14.61905502831552,0.25890071541648885,-0.36506252906625397,0.43375431495735994,-3.9503344260587063,0.7275029036363206,-1.166158613953224,0.4747800774291636,19.312752,19.46826,18.726877,0.7413826
209.9923754201794,0.32737911756360727,14.357298171276566,0.26332595442694595,0.3249232115446672,0.40505890493187263,-8.309566849916003,0.5906049589812853,3.1829355128782124,0.48467437881540926,19.116346,20.384686,18.010813,2.3738728
